2025-03-19_Test_coupon_2.wav => Predicted: 1, Prob: 3.8169, Ground Truth: N/A
cross_p7s1_cycle_515.wav => Predicted: 1, Prob: 2.5333, Ground Truth: N/A
cross_p7s1_cycle_517.wav => Predicted: 0, Prob: 10.3115, Ground Truth: 0
cross_p7s1_cycle_519.wav => Predicted: 0, Prob: 11.5482, Ground Truth: 0
cross_p7s1_cycle_521.wav => Predicted: 0, Prob: 11.6047, Ground Truth: 0
cross_p7s1_cycle_523.wav => Predicted: 0, Prob: 4.3966, Ground Truth: 0
cross_p7s1_cycle_525.wav => Predicted: 0, Prob: 8.2118, Ground Truth: N/A
cross_p7s1_cycle_529.wav => Predicted: 0, Prob: 10.4700, Ground Truth: 0
cross_p7s1_cycle_531.wav => Predicted: 0, Prob: 10.3036, Ground Truth: 0
cross_p7s1_cycle_533.wav => Predicted: 0, Prob: 11.3344, Ground Truth: 0
cross_p7s1_cycle_535.wav => Predicted: 0, Prob: 9.7150, Ground Truth: N/A
cross_p7s1_cycle_537.wav => Predicted: 0, Prob: 7.4048, Ground Truth: 0
cross_p7s1_cycle_539.wav => Predicted: 0, Prob: 11.1529, Ground Truth: 0
cross_p7s1_cycle_541.wav => Predicted: 0, Prob: 10.5838, Ground Truth: 0
cross_p7s1_cycle_543.wav => Predicted: 0, Prob: 10.3436, Ground Truth: 0
cross_p7s1_cycle_545.wav => Predicted: 0, Prob: 9.5602, Ground Truth: N/A
cross_p7s1_cycle_547.wav => Predicted: 0, Prob: 11.4868, Ground Truth: 0
cross_p7s1_cycle_549.wav => Predicted: 0, Prob: 11.0276, Ground Truth: 0
cross_p7s1_cycle_553.wav => Predicted: 0, Prob: 7.9296, Ground Truth: N/A
cross_p7s1_cycle_555.wav => Predicted: 0, Prob: 10.9776, Ground Truth: N/A
cross_p7s1_cycle_557.wav => Predicted: 0, Prob: 7.1451, Ground Truth: 0
cross_p7s1_cycle_559.wav => Predicted: 0, Prob: 10.4332, Ground Truth: N/A
cross_p7s1_cycle_561.wav => Predicted: 0, Prob: 11.0838, Ground Truth: 0
cross_p7s1_cycle_563.wav => Predicted: 0, Prob: 11.2244, Ground Truth: 0
cross_p7s1_cycle_565.wav => Predicted: 0, Prob: 11.1904, Ground Truth: 0
cross_p7s1_cycle_567.wav => Predicted: 0, Prob: 10.9600, Ground Truth: 0
cross_p7s1_cycle_569.wav => Predicted: 0, Prob: 11.0380, Ground Truth: 0
cross_p7s1_cycle_571.wav => Predicted: 0, Prob: 11.5919, Ground Truth: N/A
cross_p7s1_cycle_573.wav => Predicted: 0, Prob: 11.7605, Ground Truth: 0
cross_p7s1_cycle_575.wav => Predicted: 0, Prob: 10.3480, Ground Truth: N/A
cross_p7s1_cycle_577.wav => Predicted: 0, Prob: 11.3360, Ground Truth: 0
cross_p7s1_cycle_581.wav => Predicted: 0, Prob: 11.1647, Ground Truth: 0
cross_p7s1_cycle_583.wav => Predicted: 0, Prob: 10.1332, Ground Truth: N/A
cross_p7s1_cycle_585.wav => Predicted: 0, Prob: 11.4048, Ground Truth: 0
cross_p7s1_cycle_587.wav => Predicted: 0, Prob: 5.1054, Ground Truth: 0
cross_p7s1_cycle_589.wav => Predicted: 0, Prob: 10.1473, Ground Truth: 0
cross_p7s1_cycle_593.wav => Predicted: 1, Prob: 9.6156, Ground Truth: 1
cross_p7s1_cycle_593_augmented_1.wav => Predicted: 1, Prob: 10.1522, Ground Truth: 1
cross_p7s1_cycle_593_augmented_2.wav => Predicted: 1, Prob: 9.4451, Ground Truth: 1
cross_p7s1_cycle_593_augmented_3.wav => Predicted: 1, Prob: 9.9792, Ground Truth: 1
cross_p7s1_cycle_593_augmented_4.wav => Predicted: 1, Prob: 9.9197, Ground Truth: 1
cross_p7s1_cycle_595.wav => Predicted: 0, Prob: 8.8691, Ground Truth: 0
cross_p7s1_cycle_597.wav => Predicted: 0, Prob: 6.9107, Ground Truth: 0
cross_p7s1_cycle_599.wav => Predicted: 0, Prob: 9.5210, Ground Truth: 0
cross_p7s1_cycle_601.wav => Predicted: 0, Prob: 10.0679, Ground Truth: 0
Cross_s1_p1cycle_004.wav => Predicted: 0, Prob: 6.5270, Ground Truth: 0
Cross_s1_p1cycle_006.wav => Predicted: 0, Prob: 5.9181, Ground Truth: 0
Cross_s1_p1cycle_008.wav => Predicted: 0, Prob: 7.8487, Ground Truth: 0
Cross_s1_p1cycle_010.wav => Predicted: 0, Prob: 5.8968, Ground Truth: 0
Cross_s1_p1cycle_012.wav => Predicted: 0, Prob: 8.0920, Ground Truth: 0
Cross_s1_p1cycle_014.wav => Predicted: 0, Prob: 10.6279, Ground Truth: 0
Cross_s1_p1cycle_016.wav => Predicted: 0, Prob: 4.7634, Ground Truth: 0
Cross_s1_p1cycle_018.wav => Predicted: 0, Prob: 7.3342, Ground Truth: 0
Cross_s1_p1cycle_020.wav => Predicted: 0, Prob: 9.9855, Ground Truth: 0
Cross_s1_p1cycle_022.wav => Predicted: 0, Prob: 6.3432, Ground Truth: N/A
Cross_s1_p1cycle_024.wav => Predicted: 0, Prob: 8.2183, Ground Truth: N/A
Cross_s1_p1cycle_026.wav => Predicted: 0, Prob: 8.1625, Ground Truth: 0
Cross_s1_p1cycle_028.wav => Predicted: 0, Prob: 8.8292, Ground Truth: 0
Cross_s1_p1cycle_030.wav => Predicted: 0, Prob: 8.3159, Ground Truth: 0
Cross_s1_p1cycle_032.wav => Predicted: 0, Prob: 9.0884, Ground Truth: N/A
Cross_s1_p1cycle_034.wav => Predicted: 0, Prob: 7.9687, Ground Truth: 0
Cross_s1_p1cycle_036.wav => Predicted: 0, Prob: 9.0265, Ground Truth: 0
Cross_s1_p1cycle_038.wav => Predicted: 1, Prob: 1.2121, Ground Truth: N/A
Cross_s1_p1cycle_040.wav => Predicted: 0, Prob: 9.4275, Ground Truth: 0
Cross_s1_p1cycle_042.wav => Predicted: 0, Prob: 11.5674, Ground Truth: 0
Cross_s1_p1cycle_044.wav => Predicted: 0, Prob: 5.8038, Ground Truth: 0
Cross_s1_p1cycle_046.wav => Predicted: 0, Prob: 8.6571, Ground Truth: 0
Cross_s1_p1cycle_048.wav => Predicted: 0, Prob: 9.7802, Ground Truth: N/A
Cross_s1_p1cycle_052.wav => Predicted: 0, Prob: 8.1906, Ground Truth: 0
Cross_s1_p1cycle_054.wav => Predicted: 0, Prob: 9.0872, Ground Truth: 0
Cross_s1_p1cycle_056.wav => Predicted: 0, Prob: 8.6612, Ground Truth: 0
Cross_s1_p1cycle_058.wav => Predicted: 0, Prob: 9.3994, Ground Truth: 0
Cross_s1_p1cycle_060.wav => Predicted: 0, Prob: 9.8723, Ground Truth: 0
Cross_s1_p1cycle_062.wav => Predicted: 0, Prob: 10.2488, Ground Truth: 0
Cross_s1_p1cycle_064.wav => Predicted: 0, Prob: 9.4101, Ground Truth: 0
Cross_s1_p1cycle_066.wav => Predicted: 0, Prob: 8.4650, Ground Truth: 0
Cross_s1_p1cycle_068.wav => Predicted: 0, Prob: 11.8291, Ground Truth: 0
Cross_s1_p1cycle_070.wav => Predicted: 0, Prob: 8.2289, Ground Truth: 0
Cross_s1_p1cycle_072.wav => Predicted: 0, Prob: 9.3245, Ground Truth: 0
Cross_s1_p1cycle_074.wav => Predicted: 0, Prob: 8.7705, Ground Truth: N/A
Cross_s1_p1cycle_076.wav => Predicted: 0, Prob: 8.6823, Ground Truth: 0
Cross_s1_p1cycle_078.wav => Predicted: 0, Prob: 9.7273, Ground Truth: N/A
Cross_s1_p1cycle_080.wav => Predicted: 0, Prob: 11.2640, Ground Truth: 0
Cross_s1_p1cycle_082.wav => Predicted: 0, Prob: 9.5967, Ground Truth: 0
Cross_s1_p1cycle_084.wav => Predicted: 0, Prob: 8.9418, Ground Truth: 0
Cross_s1_p1cycle_086.wav => Predicted: 1, Prob: 10.6028, Ground Truth: 1
Cross_s1_p1cycle_086_augmented_1.wav => Predicted: 1, Prob: 10.3352, Ground Truth: 1
Cross_s1_p1cycle_086_augmented_2.wav => Predicted: 1, Prob: 10.4909, Ground Truth: 1
Cross_s1_p1cycle_086_augmented_3.wav => Predicted: 1, Prob: 10.2978, Ground Truth: 1
Cross_s1_p1cycle_086_augmented_4.wav => Predicted: 1, Prob: 9.9806, Ground Truth: 1
Cross_s1_p1cycle_088.wav => Predicted: 0, Prob: 10.4238, Ground Truth: 0
Cross_s1_p1cycle_090.wav => Predicted: 0, Prob: 11.0003, Ground Truth: 0
Cross_s1_p1cycle_092.wav => Predicted: 0, Prob: 13.5860, Ground Truth: 0
Cross_s1_p1cycle_094.wav => Predicted: 0, Prob: 10.0107, Ground Truth: N/A
Cross_s1_p1cycle_096.wav => Predicted: 0, Prob: 10.5576, Ground Truth: 0
Cross_s1_p1cycle_098.wav => Predicted: 0, Prob: 7.3773, Ground Truth: 0
Cross_s1_p1cycle_100.wav => Predicted: 0, Prob: 12.0063, Ground Truth: 0
Cross_s1_p1cycle_102.wav => Predicted: 0, Prob: 8.1333, Ground Truth: 0
Cross_s1_p1cycle_104.wav => Predicted: 0, Prob: 8.0739, Ground Truth: 0
Cross_s1_p1cycle_108.wav => Predicted: 0, Prob: 9.1040, Ground Truth: 0
Cross_s1_p1cycle_112.wav => Predicted: 0, Prob: 8.7622, Ground Truth: 0
Cross_s1_p1cycle_120.wav => Predicted: 0, Prob: 10.4201, Ground Truth: 0
Cross_s1_p1cycle_122.wav => Predicted: 0, Prob: 7.3045, Ground Truth: 0
Cross_s1_p1cycle_124.wav => Predicted: 0, Prob: 8.6215, Ground Truth: 0
Cross_s1_p1cycle_126.wav => Predicted: 0, Prob: 10.4061, Ground Truth: 0
Cross_s1_p1cycle_128.wav => Predicted: 0, Prob: 10.5751, Ground Truth: 0
Cross_s1_p1cycle_130.wav => Predicted: 0, Prob: 12.0643, Ground Truth: 0
Cross_s1_p1cycle_132.wav => Predicted: 0, Prob: 10.7942, Ground Truth: N/A
Cross_s1_p1cycle_134.wav => Predicted: 0, Prob: 9.1948, Ground Truth: 0
Cross_s1_p1cycle_136.wav => Predicted: 0, Prob: 8.6168, Ground Truth: 0
Cross_s1_p1cycle_138.wav => Predicted: 0, Prob: 11.8355, Ground Truth: 0
Cross_s1_p1cycle_140.wav => Predicted: 0, Prob: 10.5799, Ground Truth: N/A
Cross_s1_p1cycle_142.wav => Predicted: 0, Prob: 10.1894, Ground Truth: N/A
Cross_s1_p1cycle_144.wav => Predicted: 0, Prob: 9.0863, Ground Truth: 0
Cross_s1_p1cycle_146.wav => Predicted: 0, Prob: 10.3210, Ground Truth: 0
Cross_s1_p1cycle_148.wav => Predicted: 0, Prob: 8.1328, Ground Truth: 0
Cross_s1_p1cycle_150.wav => Predicted: 0, Prob: 9.9782, Ground Truth: 0
Cross_s1_p1cycle_152.wav => Predicted: 0, Prob: 10.4390, Ground Truth: 0
Cross_s1_p1cycle_154.wav => Predicted: 0, Prob: 8.5916, Ground Truth: N/A
Cross_s1_p1cycle_156.wav => Predicted: 0, Prob: 10.9757, Ground Truth: 0
Cross_s1_p1cycle_158.wav => Predicted: 0, Prob: 10.3433, Ground Truth: 0
Cross_s1_p1cycle_162.wav => Predicted: 0, Prob: 8.1530, Ground Truth: N/A
Cross_s1_p1cycle_164.wav => Predicted: 0, Prob: 9.1980, Ground Truth: 0
Cross_s1_p1cycle_166.wav => Predicted: 0, Prob: 5.7903, Ground Truth: 0
Cross_s1_p1cycle_168.wav => Predicted: 0, Prob: 10.3273, Ground Truth: N/A
Cross_s1_p1cycle_170.wav => Predicted: 0, Prob: 9.1341, Ground Truth: 0
Cross_s1_p1cycle_172.wav => Predicted: 0, Prob: 8.4361, Ground Truth: 0
Cross_s1_p1cycle_174.wav => Predicted: 0, Prob: 7.2819, Ground Truth: N/A
Cross_s1_p1cycle_176.wav => Predicted: 0, Prob: 10.2631, Ground Truth: 0
Cross_s1_p1cycle_178.wav => Predicted: 1, Prob: 10.3129, Ground Truth: 1
Cross_s1_p1cycle_178_augmented_1.wav => Predicted: 1, Prob: 9.8109, Ground Truth: 1
Cross_s1_p1cycle_178_augmented_2.wav => Predicted: 1, Prob: 9.8117, Ground Truth: N/A
Cross_s1_p1cycle_178_augmented_3.wav => Predicted: 1, Prob: 3.3347, Ground Truth: 1
Cross_s1_p1cycle_178_augmented_4.wav => Predicted: 1, Prob: 9.9853, Ground Truth: 1
Cross_s1_p1cycle_180.wav => Predicted: 0, Prob: 7.2746, Ground Truth: 0
Cross_s1_p1cycle_182.wav => Predicted: 0, Prob: 10.2049, Ground Truth: 0
Cross_s1_p1cycle_184.wav => Predicted: 0, Prob: 9.7938, Ground Truth: 0
Cross_s1_p3cycle_075.wav => Predicted: 1, Prob: 9.9993, Ground Truth: 1
Cross_s1_p3cycle_075_augmented_1.wav => Predicted: 1, Prob: 9.7280, Ground Truth: 1
Cross_s1_p3cycle_075_augmented_2.wav => Predicted: 1, Prob: 5.2999, Ground Truth: N/A
Cross_s1_p3cycle_075_augmented_3.wav => Predicted: 1, Prob: 5.9220, Ground Truth: 1
Cross_s1_p3cycle_075_augmented_4.wav => Predicted: 1, Prob: 9.7362, Ground Truth: 1
Cross_s1_p3cycle_095.wav => Predicted: 1, Prob: 10.7393, Ground Truth: N/A
Cross_s1_p3cycle_095_augmented_1.wav => Predicted: 1, Prob: 5.1376, Ground Truth: 1
Cross_s1_p3cycle_095_augmented_2.wav => Predicted: 1, Prob: 9.6633, Ground Truth: 1
Cross_s1_p3cycle_095_augmented_3.wav => Predicted: 1, Prob: 7.5514, Ground Truth: 1
Cross_s1_p3cycle_095_augmented_4.wav => Predicted: 1, Prob: 8.9232, Ground Truth: 1
Cross_s1_p3cycle_109.wav => Predicted: 1, Prob: 10.7094, Ground Truth: 1
Cross_s1_p3cycle_109_augmented_1.wav => Predicted: 1, Prob: 10.8013, Ground Truth: 1
Cross_s1_p3cycle_109_augmented_2.wav => Predicted: 1, Prob: 10.6147, Ground Truth: 1
Cross_s1_p3cycle_109_augmented_3.wav => Predicted: 1, Prob: 10.0514, Ground Truth: 1
Cross_s1_p3cycle_109_augmented_4.wav => Predicted: 1, Prob: 6.8054, Ground Truth: 1
Cross_s1_p3cycle_181.wav => Predicted: 1, Prob: 9.9927, Ground Truth: 1
Cross_s1_p3cycle_181_augmented_1.wav => Predicted: 1, Prob: 9.9407, Ground Truth: 1
Cross_s1_p3cycle_181_augmented_2.wav => Predicted: 1, Prob: 9.8324, Ground Truth: 1
Cross_s1_p3cycle_181_augmented_3.wav => Predicted: 1, Prob: 9.4223, Ground Truth: N/A
Cross_s1_p3cycle_181_augmented_4.wav => Predicted: 1, Prob: 10.1548, Ground Truth: 1
Cross_s1_p3cycle_185.wav => Predicted: 1, Prob: 11.2203, Ground Truth: 1
Cross_s1_p3cycle_185_augmented_1.wav => Predicted: 1, Prob: 9.7130, Ground Truth: 1
Cross_s1_p3cycle_185_augmented_2.wav => Predicted: 1, Prob: 11.3473, Ground Truth: 1
Cross_s1_p3cycle_185_augmented_3.wav => Predicted: 1, Prob: 9.5183, Ground Truth: 1
Cross_s1_p3cycle_185_augmented_4.wav => Predicted: 1, Prob: 9.5300, Ground Truth: 1
Cross_s1_p3cycle_187.wav => Predicted: 1, Prob: 11.1405, Ground Truth: 1
Cross_s1_p3cycle_187_augmented_1.wav => Predicted: 1, Prob: 10.8839, Ground Truth: 1
Cross_s1_p3cycle_187_augmented_2.wav => Predicted: 1, Prob: 10.3843, Ground Truth: N/A
Cross_s1_p3cycle_187_augmented_3.wav => Predicted: 1, Prob: 8.9883, Ground Truth: 1
Cross_s1_p3cycle_187_augmented_4.wav => Predicted: 1, Prob: 10.7561, Ground Truth: 1
Cross_s1_p3cycle_336.wav => Predicted: 1, Prob: 9.8506, Ground Truth: 1
Cross_s1_p3cycle_336_augmented_1.wav => Predicted: 1, Prob: 4.2630, Ground Truth: 1
Cross_s1_p3cycle_336_augmented_2.wav => Predicted: 1, Prob: 6.5830, Ground Truth: N/A
Cross_s1_p3cycle_336_augmented_3.wav => Predicted: 1, Prob: 10.5346, Ground Truth: 1
Cross_s1_p3cycle_336_augmented_4.wav => Predicted: 1, Prob: 10.2873, Ground Truth: 1
Cross_s1_p3cycle_348.wav => Predicted: 1, Prob: 9.3508, Ground Truth: 1
Cross_s1_p3cycle_348_augmented_1.wav => Predicted: 1, Prob: 9.9054, Ground Truth: 1
Cross_s1_p3cycle_348_augmented_2.wav => Predicted: 1, Prob: 6.3689, Ground Truth: 1
Cross_s1_p3cycle_348_augmented_3.wav => Predicted: 1, Prob: 5.2433, Ground Truth: 1
Cross_s1_p3cycle_348_augmented_4.wav => Predicted: 1, Prob: 5.1745, Ground Truth: 1
Cross_s1_p3cycle_356.wav => Predicted: 1, Prob: 8.7607, Ground Truth: 1
Cross_s1_p3cycle_356_augmented_1.wav => Predicted: 1, Prob: 8.7920, Ground Truth: 1
Cross_s1_p3cycle_356_augmented_2.wav => Predicted: 1, Prob: 6.1984, Ground Truth: 1
Cross_s1_p3cycle_356_augmented_3.wav => Predicted: 1, Prob: 6.1420, Ground Truth: 1
Cross_s1_p3cycle_356_augmented_4.wav => Predicted: 1, Prob: 7.6837, Ground Truth: 1
Cross_s1_p3cycle_382.wav => Predicted: 1, Prob: 9.4108, Ground Truth: 1
Cross_s1_p3cycle_382_augmented_1.wav => Predicted: 1, Prob: 10.0316, Ground Truth: 1
Cross_s1_p3cycle_382_augmented_2.wav => Predicted: 1, Prob: 9.5944, Ground Truth: 1
Cross_s1_p3cycle_382_augmented_3.wav => Predicted: 1, Prob: 10.5026, Ground Truth: 1
Cross_s1_p3cycle_382_augmented_4.wav => Predicted: 1, Prob: 9.1008, Ground Truth: 1
Cross_s1_p4cycle_003.wav => Predicted: 0, Prob: 8.9235, Ground Truth: 0
Cross_s1_p4cycle_005.wav => Predicted: 0, Prob: 10.1998, Ground Truth: 0
Cross_s1_p4cycle_007.wav => Predicted: 0, Prob: 9.2967, Ground Truth: 0
Cross_s1_p4cycle_009.wav => Predicted: 0, Prob: 9.2107, Ground Truth: 0
Cross_s1_p4cycle_011.wav => Predicted: 0, Prob: 8.2594, Ground Truth: 0
Cross_s1_p4cycle_013.wav => Predicted: 0, Prob: 8.8173, Ground Truth: 0
Cross_s1_p4cycle_015.wav => Predicted: 0, Prob: 8.5950, Ground Truth: 0
Cross_s1_p4cycle_017.wav => Predicted: 0, Prob: 10.8360, Ground Truth: N/A
Cross_s1_p4cycle_019.wav => Predicted: 0, Prob: 10.3904, Ground Truth: N/A
Cross_s1_p4cycle_021.wav => Predicted: 0, Prob: 12.3254, Ground Truth: 0
Cross_s1_p4cycle_023.wav => Predicted: 0, Prob: 12.8875, Ground Truth: 0
Cross_s1_p4cycle_025.wav => Predicted: 0, Prob: 7.4111, Ground Truth: 0
Cross_s1_p4cycle_027.wav => Predicted: 0, Prob: 8.6272, Ground Truth: 0
Cross_s1_p4cycle_029.wav => Predicted: 0, Prob: 11.9090, Ground Truth: N/A
Cross_s1_p4cycle_031.wav => Predicted: 0, Prob: 9.4578, Ground Truth: N/A
Cross_s1_p4cycle_035.wav => Predicted: 0, Prob: 8.6654, Ground Truth: N/A
Cross_s1_p4cycle_037.wav => Predicted: 0, Prob: 10.9540, Ground Truth: N/A
Cross_s1_p4cycle_039.wav => Predicted: 0, Prob: 7.3202, Ground Truth: 0
Cross_s1_p4cycle_041.wav => Predicted: 0, Prob: 8.2176, Ground Truth: 0
Cross_s1_p4cycle_043.wav => Predicted: 0, Prob: 9.9663, Ground Truth: 0
Cross_s1_p4cycle_045.wav => Predicted: 0, Prob: 8.4254, Ground Truth: 0
Cross_s1_p4cycle_047.wav => Predicted: 0, Prob: 9.4211, Ground Truth: 0
Cross_s1_p4cycle_049.wav => Predicted: 0, Prob: 11.2716, Ground Truth: 0
Cross_s1_p4cycle_051.wav => Predicted: 0, Prob: 8.9878, Ground Truth: 0
Cross_s1_p4cycle_053.wav => Predicted: 0, Prob: 8.8306, Ground Truth: 0
Cross_s1_p4cycle_055.wav => Predicted: 0, Prob: 11.2971, Ground Truth: 0
Cross_s1_p4cycle_057.wav => Predicted: 0, Prob: 7.5242, Ground Truth: 0
Cross_s1_p4cycle_059.wav => Predicted: 0, Prob: 8.2756, Ground Truth: 0
Cross_s1_p4cycle_061.wav => Predicted: 0, Prob: 11.0645, Ground Truth: 0
Cross_s1_p4cycle_063.wav => Predicted: 0, Prob: 9.1132, Ground Truth: 0
Cross_s1_p4cycle_065.wav => Predicted: 0, Prob: 6.7010, Ground Truth: 0
Cross_s1_p4cycle_067.wav => Predicted: 0, Prob: 7.9933, Ground Truth: 0
Cross_s1_p4cycle_069.wav => Predicted: 0, Prob: 7.8769, Ground Truth: 0
Cross_s1_p4cycle_071.wav => Predicted: 0, Prob: 9.1030, Ground Truth: N/A
Cross_s1_p4cycle_073.wav => Predicted: 0, Prob: 7.5948, Ground Truth: 0
Cross_s1_p4cycle_075.wav => Predicted: 0, Prob: 9.0850, Ground Truth: 0
Cross_s1_p4cycle_077.wav => Predicted: 0, Prob: 9.2273, Ground Truth: 0
Cross_s1_p4cycle_079.wav => Predicted: 0, Prob: 8.2045, Ground Truth: 0
Cross_s1_p4cycle_081.wav => Predicted: 0, Prob: 7.6422, Ground Truth: 0
Cross_s1_p4cycle_083.wav => Predicted: 0, Prob: 8.2583, Ground Truth: 0
Cross_s1_p4cycle_085.wav => Predicted: 0, Prob: 7.3437, Ground Truth: N/A
Cross_s1_p4cycle_087.wav => Predicted: 0, Prob: 10.0754, Ground Truth: N/A
Cross_s1_p4cycle_089.wav => Predicted: 0, Prob: 7.6459, Ground Truth: 0
Cross_s1_p4cycle_091.wav => Predicted: 0, Prob: 9.5438, Ground Truth: 0
Cross_s1_p4cycle_093.wav => Predicted: 0, Prob: 5.8751, Ground Truth: 0
Cross_s1_p4cycle_095.wav => Predicted: 0, Prob: 10.2321, Ground Truth: N/A
Cross_s1_p4cycle_097.wav => Predicted: 0, Prob: 9.8292, Ground Truth: 0
Cross_s1_p4cycle_099.wav => Predicted: 0, Prob: 9.3717, Ground Truth: 0
Cross_s1_p4cycle_101.wav => Predicted: 0, Prob: 8.5729, Ground Truth: 0
Cross_s1_p4cycle_103.wav => Predicted: 0, Prob: 6.0249, Ground Truth: 0
Cross_s1_p4cycle_105.wav => Predicted: 0, Prob: 9.5259, Ground Truth: 0
Cross_s1_p4cycle_107.wav => Predicted: 0, Prob: 8.3723, Ground Truth: 0
Cross_s1_p4cycle_109.wav => Predicted: 0, Prob: 9.1794, Ground Truth: 0
Cross_s1_p4cycle_111.wav => Predicted: 0, Prob: 7.7034, Ground Truth: 0
Cross_s1_p4cycle_113.wav => Predicted: 0, Prob: 8.5883, Ground Truth: 0
Cross_s1_p4cycle_115.wav => Predicted: 0, Prob: 8.1394, Ground Truth: N/A
Cross_s1_p5cycle_003.wav => Predicted: 0, Prob: 8.6619, Ground Truth: 0
Cross_s1_p5cycle_005.wav => Predicted: 0, Prob: 9.4272, Ground Truth: 0
Cross_s1_p5cycle_007.wav => Predicted: 0, Prob: 6.5004, Ground Truth: 0
Cross_s1_p5cycle_009.wav => Predicted: 0, Prob: 8.6110, Ground Truth: 0
Cross_s1_p5cycle_011.wav => Predicted: 0, Prob: 11.5392, Ground Truth: 0
Cross_s1_p5cycle_013.wav => Predicted: 0, Prob: 11.0638, Ground Truth: N/A
Cross_s1_p5cycle_015.wav => Predicted: 0, Prob: 8.1046, Ground Truth: 0
Cross_s1_p5cycle_017.wav => Predicted: 0, Prob: 10.9483, Ground Truth: 0
Cross_s1_p5cycle_019.wav => Predicted: 0, Prob: 7.0773, Ground Truth: 0
Cross_s1_p5cycle_021.wav => Predicted: 0, Prob: 10.6292, Ground Truth: 0
Cross_s1_p5cycle_023.wav => Predicted: 0, Prob: 10.6684, Ground Truth: 0
Cross_s1_p5cycle_025.wav => Predicted: 0, Prob: 11.4746, Ground Truth: 0
Cross_s1_p5cycle_027.wav => Predicted: 0, Prob: 10.5032, Ground Truth: 0
Cross_s1_p5cycle_029.wav => Predicted: 0, Prob: 10.1885, Ground Truth: 0
Cross_s1_p5cycle_031.wav => Predicted: 0, Prob: 6.4367, Ground Truth: 0
Cross_s1_p5cycle_037.wav => Predicted: 0, Prob: 6.9668, Ground Truth: 0
Cross_s1_p5cycle_039.wav => Predicted: 0, Prob: 8.7530, Ground Truth: 0
Cross_s1_p5cycle_041.wav => Predicted: 0, Prob: 8.3105, Ground Truth: 0
Cross_s1_p5cycle_043.wav => Predicted: 0, Prob: 7.7922, Ground Truth: 0
Cross_s1_p5cycle_045.wav => Predicted: 0, Prob: 8.9422, Ground Truth: 0
Cross_s1_p5cycle_047.wav => Predicted: 0, Prob: 10.2697, Ground Truth: 0
Cross_s1_p5cycle_049.wav => Predicted: 0, Prob: 7.7000, Ground Truth: 0
Cross_s1_p5cycle_051.wav => Predicted: 0, Prob: 9.5488, Ground Truth: N/A
Cross_s1_p5cycle_053.wav => Predicted: 0, Prob: 7.4334, Ground Truth: 0
Cross_s1_p5cycle_055.wav => Predicted: 0, Prob: 8.6327, Ground Truth: 0
Cross_s1_p5cycle_057.wav => Predicted: 0, Prob: 9.4915, Ground Truth: 0
Cross_s1_p5cycle_059.wav => Predicted: 0, Prob: 7.9560, Ground Truth: 0
Cross_s1_p5cycle_061.wav => Predicted: 0, Prob: 8.7931, Ground Truth: 0
Cross_s1_p5cycle_063.wav => Predicted: 0, Prob: 8.2873, Ground Truth: 0
Cross_s1_p5cycle_065.wav => Predicted: 0, Prob: 7.8208, Ground Truth: 0
Cross_s1_p5cycle_067.wav => Predicted: 0, Prob: 7.8904, Ground Truth: N/A
Cross_s1_p5cycle_069.wav => Predicted: 0, Prob: 8.1725, Ground Truth: 0
Cross_s1_p5cycle_071.wav => Predicted: 0, Prob: 9.1429, Ground Truth: 0
Cross_s1_p5cycle_073.wav => Predicted: 0, Prob: 9.4768, Ground Truth: 0
Cross_s1_p5cycle_075.wav => Predicted: 0, Prob: 7.6941, Ground Truth: 0
Cross_s1_p5cycle_077.wav => Predicted: 0, Prob: 4.5172, Ground Truth: 0
Cross_s1_p5cycle_079.wav => Predicted: 0, Prob: 9.3709, Ground Truth: 0
Cross_s1_p5cycle_081.wav => Predicted: 0, Prob: 7.6418, Ground Truth: 0
Cross_s1_p5cycle_083.wav => Predicted: 0, Prob: 8.7129, Ground Truth: 0
Cross_s1_p5cycle_085.wav => Predicted: 0, Prob: 10.1651, Ground Truth: N/A
Cross_s1_p5cycle_087.wav => Predicted: 0, Prob: 8.2049, Ground Truth: 0
Cross_s1_p5cycle_089.wav => Predicted: 0, Prob: 8.9924, Ground Truth: 0
Cross_s1_p5cycle_091.wav => Predicted: 0, Prob: 8.4419, Ground Truth: 0
Cross_s1_p5cycle_095.wav => Predicted: 0, Prob: 7.0743, Ground Truth: 0
Cross_s1_p5cycle_097.wav => Predicted: 0, Prob: 5.8883, Ground Truth: 0
Cross_s1_p5cycle_099.wav => Predicted: 0, Prob: 9.2363, Ground Truth: N/A
Cross_s1_p5cycle_101.wav => Predicted: 0, Prob: 8.3716, Ground Truth: 0
Cross_s1_p5cycle_103.wav => Predicted: 0, Prob: 8.9388, Ground Truth: 0
Cross_s1_p5cycle_105.wav => Predicted: 0, Prob: 5.3218, Ground Truth: 0
Cross_s1_p5cycle_107.wav => Predicted: 0, Prob: 8.8052, Ground Truth: N/A
Cross_s1_p5cycle_109.wav => Predicted: 0, Prob: 14.1575, Ground Truth: N/A
Cross_s1_p5cycle_111.wav => Predicted: 0, Prob: 8.1667, Ground Truth: 0
Cross_s1_p5cycle_113.wav => Predicted: 0, Prob: 3.9015, Ground Truth: N/A
Cross_s1_p5cycle_120.wav => Predicted: 0, Prob: 8.3805, Ground Truth: 0
